%%LOLT2	CRKT2
46.156	63.43
45.873	63.713
45.59	63.713
45.59	62.58
45.307	62.58
45.307	62.58
45.024	62.58
45.024	62.014
44.741	61.731
44.741	60.881
44.457	60.881
44.457	60.598
44.174	60.315
44.174	60.598
44.174	60.598
43.891	60.881
43.891	59.749
43.608	60.032
43.608	59.749
43.608	59.749
43.608	59.182
43.325	59.182
43.325	59.182
43.325	59.465
43.325	58.899
43.325	58.616
43.042	59.182
43.042	58.899
43.042	58.333
43.042	57.766
43.042	58.333
43.042	58.333
42.758	58.333
42.758	58.616
42.758	58.616
42.758	58.333
42.758	57.766
42.758	58.05
42.475	57.766
42.475	57.483
42.475	57.766
42.758	57.483
42.475	57.766
42.475	57.483
42.475	56.917
42.475	57.766
42.475	57.483
42.475	58.05
42.475	57.766
42.475	58.333
42.475	58.05
42.192	57.766
42.192	57.766
42.192	57.766
42.192	58.05
42.192	58.05
42.192	58.05
42.192	56.917
42.192	56.917
42.192	57.766
42.192	57.483
42.192	57.483
42.192	57.483
42.475	57.483
42.475	58.05
42.475	58.333
42.475	58.05
42.475	58.333
42.475	58.05
42.475	58.333
42.192	58.333
42.192	58.333
42.192	58.05
42.192	58.05
42.192	58.333
42.192	58.05
42.192	57.766
42.192	57.62416667
42.192	57.766
42.192	58.333
42.192	58.616
42.192	58.333
42.192	58.333
42.192	58.899
41.909	58.616
41.909	58.616
41.909	58.333
41.909	58.616
41.909	58.616
41.909	58.05
41.909	58.333
41.909	58.333
41.626	58.05
41.626	58.616
41.626	58.616
41.909	58.05
41.909	58.05
41.626	58.333
41.626	58.05
41.626	58.05
41.626	58.333
41.626	58.333
41.626	56.634
41.626	57.483
41.626	57.483
41.626	57.766
41.626	57.766
41.626	57.766
41.626	57.483
41.626	57.766
41.626	56.917
41.626	57.483
41.626	57.766
41.626	57.483
41.626	57.483
41.626	57.483
41.626	56.634
41.626	57.766
41.626	57.483
41.626	57.483
41.626	57.483
41.626	57.483
41.626	58.05
41.343	57.766
41.343	57.766
41.343	58.05
41.343	57.483
41.343	56.9276553
41.343	56.38409092
41.343	55.85243185
41.343	55.33280312
41.343	54.82532973
41.343	54.33013669
41.343	53.84734902
41.343	53.37709171
41.343	52.91948979
41.343	52.47466826
41.343	52.04275213
41.626	51.62386641
41.626	51.21813611
41.626	50.82568625
41.626	50.44664183
41.626	50.08112786
41.626	49.72926935
41.626	49.39119131
41.626	49.06701876
41.626	48.75687669
41.626	48.46089013
41.626	48.17918408
41.626	47.91188355
41.626	47.65911355
41.626	47.42099909
41.626	47.19766519
41.626	46.98923684
41.626	46.79583907
41.626	46.61759688
41.626	46.45463528
41.626	46.30707928
41.626	46.17505389
41.626	46.05868413
41.626	45.95809499
41.626	45.8734115
41.626	45.80475866
41.626	45.75226148
41.626	45.71604497
41.626	45.69623414
41.626	45.692954
41.343	45.70632956
41.343	45.73648584
41.343	45.78354783
41.626	45.84764056
41.626	45.92888903
41.909	46.02741824
41.909	46.14335322
41.909	46.27681897
41.909	46.4279405
42.192	46.59684283
42.475	46.78365095
42.758	46.98848988
42.758	47.21148464
42.758	47.45276022
42.758	47.71244165
43.042	47.99065392
43.042	48.28752206
43.325	48.60317107
43.608	48.93772596
43.608	49.29131174
43.608	49.66405342
43.891	50.05607601
43.891	50.46750452
43.891	50.89846396
43.891	51.34907934
43.891	51.81947567
43.891	52.30977796
43.891	52.82011123
43.891	53.35060047
43.891	53.90137071
44.174	54.47254694
44.174	55.06425418
44.174	55.67661745
44.457	56.30976174
44.457	56.96381208
44.457	57.63889347
44.741	58.33513091
45.024	59.05264943
45.307	59.79157403
45.59	60.55202971
45.873	61.3341415
46.44	62.1380344
47.289	62.96383341
48.139	63.81166356
48.988	64.68164985
50.404	65.57391728
51.82	66.48859088
53.519	67.42579565
55.218	68.38565659
57.483	69.36829873
59.749	70.37384707
62.297	71.40242661
65.129	72.45416238
67.96	73.52917938
71.075	74.62760261
74.756	75.7495571
78.438	76.89516784
82.402	78.06455986
86.65	79.25785815
90.614	80.47518774
94.578	81.71667362
98.543	82.98244082
102.79	84.27261433
107.321	85.58731917
112.135	86.92668036
116.665	88.29082289
121.479	89.67987178
126.01	91.09395204
130.257	92.53318868
134.788	93.99770671
138.753	95.48763114
143	97.00308698
146.681	98.54419924
150.362	100.1110929
154.044	101.7038931
157.725	103.3227246
160.84	104.9677127
163.955	106.6389822
166.786	108.3366582
169.618	110.0608656
172.166	111.8117296
174.715	113.5893751
176.697	115.3939271
179.246	117.2255106
180.945	119.0842507
182.644	120.9702723
184.343	122.8837005
185.758	124.8246602
187.458	126.7932765
188.59	128.7896745
189.44	130.813979
190.006	132.8663151
190.856	134.9468078
191.422	137.0555822
191.422	139.1927632
191.705	141.3584759
191.422	143.5528452
191.422	145.7759962
191.139	148.0280538
190.289	150.3091432
189.723	152.6193892
188.59	154.958917
187.741	157.3278515
186.608	159.7263177
185.192	162.1544406
183.776	164.6123453
182.36	167.1001568
180.378	169.618
178.679	172.166
176.697	171.883
174.715	172.166
172.733	173.016
169.901	173.582
167.636	173.582
165.087	172.733
162.256	173.582
159.424	172.733
156.592	172.166
153.76	171.317
150.929	169.901
147.814	169.335
144.699	167.919
141.584	166.22
138.186	164.521
134.788	163.105
131.673	160.84
128.842	159.141
125.444	156.592
122.329	153.76
119.214	152.061
116.099	149.23
112.984	146.681
109.869	143.566
106.755	140.168
103.923	137.337
101.091	135.071
98.543	132.24
96.277	129.408
94.012	125.727
91.463	122.895
89.481	120.347
87.216	118.081
85.234	115.533
83.252	113.551
81.269	110.719
79.004	107.887
77.588	105.055
75.889	102.79
74.19	101.091
72.491	99.675
71.075	97.41
69.943	95.145
68.527	92.596
67.394	91.18
66.545	90.048
65.412	88.349
64.562	86.933
63.43	85.8
62.58	84.667
61.731	82.968
60.881	81.836
59.465	80.703
58.899	79.287
58.333	78.154
57.766	77.588
57.2	76.739
56.634	75.79466667
56.634	74.756
56.351	73.624
56.067	72.491
55.501	71.925
55.218	71.075
54.935	70.509
54.652	69.943
54.652	69.659
54.652	69.659
54.652	68.81
54.652	67.677
54.652	67.677
54.368	67.394
54.368	66.545
54.368	66.261
54.368	65.695
54.085	64.846
54.085	65.129
54.085	64.279
54.085	63.996
54.368	63.713
54.368	63.147
54.368	63.43
54.368	63.43
54.368	62.863
54.368	62.863
54.368	62.58
54.368	62.58
54.368	62.014
54.652	62.014
54.652	62.58
54.652	61.731
55.218	61.448
55.501	62.863
56.067	62.014
56.634	62.014
57.766	62.014
58.899	61.731
60.032	62.014
61.164	61.731
62.863	62.014
64.279	62.014
65.978	61.731
68.244	62.014
70.509	62.014
73.341	61.731
76.739	62.863
80.986	62.014
85.517	62.58
90.614	62.58
95.994	63.147
102.224	63.996
109.586	63.996
116.949	64.846
124.877	64.846
132.523	65.978
140.735	66.545
148.663	67.677
156.309	69.093
164.238	70.509
171.317	71.925
178.679	73.624
185.758	75.889
192.838	78.438
199.917	81.553
206.43	85.234
213.226	87.782
219.172	90.897
225.402	95.711
231.065	100.242
237.012	105.905
242.392	111.568
248.056	116.665
252.586	121.762
257.966	129.974
262.78	137.903
267.594	145.549
270.992	153.76
275.24	162.256
278.921	169.901
282.602	177.547
286	185.192
291.663	191.422
294.495	199.067
297.327	206.147
302.99	212.659
305.822	219.739
308.654	225.119
311.485	231.065
314.317	237.861
317.149	243.525
319.98	248.622
325.644	254.002
325.644	259.382
328.475	264.479
331.307	269.01
334.139	273.541
336.97	278.921
339.802	282.602
342.634	286
342.634	288.832
345.465	294.495
348.297	297.327
351.129	300.159
351.129	305.822
353.961	308.654
356.792	311.485
359.624	314.317
359.624	317.149
362.456	319.98
362.456	322.812
365.287	325.644
368.119	328.475
368.119	331.307
370.951	331.307
373.782	336.97
373.782	336.97
376.614	339.802
379.446	342.634
379.446	345.465
382.277	348.297
385.109	351.129
387.941	351.129
387.941	353.961
390.772	356.792
393.604	359.624
393.604	359.624
396.436	362.456
399.267	365.287
402.099	368.119
404.931	370.951
407.763	373.782
410.594	376.614
410.594	379.446
416.258	382.277
419.089	387.941
421.921	390.772
424.753	393.604
430.416	399.267
433.248	402.099
436.079	407.763
438.911	410.594
441.743	416.258
444.574	419.089
447.406	424.753
450.238	427.584
453.07	433.248
455.901	436.079
455.901	441.743
458.733	444.574
461.565	447.406
461.565	450.238
464.396	453.07
464.396	455.901
467.228	458.733
467.228	461.565
470.06	464.396
470.06	467.228
470.06	470.06
470.06	472.891
472.891	472.891
472.891	475.723
472.891	478.555
475.723	478.555
475.723	481.386
475.723	484.218
478.555	484.218
478.555	484.218
478.555	487.05
478.555	487.05
481.386	489.881
481.386	489.881
481.386	489.881
481.386	489.881
484.218	492.713
484.218	492.713
484.218	492.713
487.05	492.713
487.05	492.713
487.05	492.713
489.881	492.713
489.881	492.713
489.881	492.713
489.881	492.713
489.881	492.713
492.713	492.713
492.713	492.713
492.713	492.713
492.713	492.713
495.545	492.713
495.545	492.713
495.545	492.713
498.376	492.713
498.376	492.713
498.376	495.545
498.376	495.545
501.208	495.545
501.208	495.545
501.208	495.545
501.208	495.545
504.04	495.545
504.04	495.545
504.04	495.545
506.872	495.545
506.872	498.376
506.872	498.376
509.703	498.376
509.703	498.376
509.703	498.376
509.703	501.208
512.535	501.208
512.535	501.208
512.535	501.208
512.535	501.208
512.535	501.208
515.367	504.04
515.367	504.04
515.367	504.04
518.198	504.04
518.198	504.04
518.198	506.872
518.198	506.872
521.03	506.872
521.03	506.872
521.03	509.703
521.03	509.703
521.03	509.703
521.03	509.703
523.862	509.703
523.862	512.535
523.862	512.535
523.862	512.535
523.862	512.535
523.862	512.535
526.693	512.535
526.693	515.367
526.693	515.367
526.693	515.367
526.693	518.198
529.525	518.198
529.525	518.198
529.525	518.198
529.525	518.198
529.525	518.198
529.525	518.198
529.525	521.03
532.357	521.03
532.357	521.03
532.357	521.03
532.357	521.03
532.357	523.862
535.188	523.862
535.188	523.862
535.188	523.862
535.188	523.862
535.188	523.862
535.188	523.862
535.188	523.862
535.188	523.862
535.188	526.693
538.02	526.693
538.02	526.693
538.02	526.693
538.02	526.693
538.02	526.693
538.02	526.693
538.02	526.693
538.02	529.525
540.852	529.525
540.852	529.525
538.02	529.525
540.852	529.525
538.02	529.525
540.852	529.525
540.852	529.525
540.852	529.525
540.852	529.525
540.852	529.525
538.02	529.525
538.02	529.525
538.02	529.525
538.02	529.525
535.188	529.525
535.188	529.525
535.188	529.525
535.188	529.525
532.357	526.693
532.357	526.693
529.525	526.693
529.525	526.693
529.525	526.693
526.693	523.862
523.862	523.862
523.862	523.862
521.03	523.862
518.198	523.862
515.367	523.862
512.535	521.03
509.703	521.03
506.872	521.03
501.208	521.03
498.376	518.198
492.713	518.198
489.881	518.198
484.218	515.367
478.555	515.367
475.723	512.535
470.06	512.535
461.565	509.703
455.901	509.703
450.238	506.872
441.743	506.872
436.079	504.04
427.584	501.208
421.921	501.208
413.426	498.376
404.931	495.545
399.267	492.713
390.772	489.881
382.277	487.05
376.614	484.218
368.119	481.386
362.456	475.723
353.961	472.891
345.465	467.228
339.802	464.396
331.307	461.565
322.812	455.901
317.149	450.238
308.654	444.574
302.99	441.743
294.495	436.079
288.832	430.416
281.186	424.753
274.957	419.089
269.01	413.426
262.497	404.931
256.834	399.267
250.887	393.604
245.224	385.109
239.56	379.446
234.18	373.782
229.083	368.119
223.986	359.624
218.606	353.961
214.075	345.465
209.261	339.802
205.014	331.307
200.483	325.644
196.236	319.98
191.988	311.485
188.59	302.99
184.343	297.327
180.945	291.663
177.83	283.168
174.432	276.656
171.6	270.143
168.768	262.497
165.937	255.418
163.671	248.622
161.123	241.826
158.857	235.313
156.309	230.216
154.327	223.703
152.345	217.757
150.646	212.376
148.947	207.562
146.964	202.749
145.265	197.652
143.566	193.404
142.717	188.59
141.018	184.059
139.319	180.095
138.186	175.281
136.77	171.317
135.921	167.919
135.071	163.388
133.656	160.557
132.523	157.158
131.673	154.044
131.107	150.362
130.257	147.248
129.125	144.416
128.275	143
127.426	140.168
126.293	137.62
124.877	135.921
123.745	133.939
122.329	132.24
120.63	129.974
119.214	128.558
116.949	126.293
115.25	125.727
113.267	123.745
111.285	122.895
109.02	121.479
106.471	120.347
104.206	120.063
102.224	118.931
100.242	118.648
97.976	116.665
95.994	114.966
94.295	114.4
92.313	113.267
90.331	111.852
88.349	110.719
86.65	109.02
85.234	106.755
83.535	104.772
81.553	103.923
80.42	102.79
78.721	100.808
77.588	99.392
76.172	98.826
75.04	96.277
73.907	95.428
73.057	93.729
71.925	93.162
71.075	91.463
70.226	90.048
69.376	88.915
68.81	87.499
68.244	86.366
